id,team,No,name,time_played,position,birthdate,height,weight,salary,nth_year,is_youth,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_team,prev2_team,prev1_team,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played
0,FC東京,2.0,徳永　悠平,2533.0,DF,1983-09-25,180,76,5000,11.0,,,305.0,4.0,37.0,3.0,,,9.0,0.0,FC東京,FC東京,FC東京,1,1,1,34,34,34,1,0,0,3060,2992,2917
1,FC東京,3.0,森重　真人,2865.0,DF,1987-05-21,183,79,6000,7.0,,,234.0,19.0,37.0,6.0,,,29.0,2.0,FC東京,FC東京,FC東京,1,1,1,33,33,32,1,1,7,2970,2970,2834
2,FC東京,4.0,高橋　秀人,1087.0,MF,1987-10-17,184,75,2800,7.0,,,129.0,10.0,32.0,4.0,,,7.0,0.0,FC東京,FC東京,FC東京,1,1,1,32,32,29,2,3,4,2618,2819,2052
3,FC東京,5.0,丸山　祐市,2925.0,DF,1989-06-16,182,75,1500,4.0,,,23.0,0.0,41.0,2.0,,,0.0,0.0,FC東京,湘南,FC東京,1,2,1,0,41,20,0,2,0,0,3689,1454
4,FC東京,6.0,室屋　成,1080.0,DF,1994-04-05,176,70,380,1.0,,,0.0,0.0,,,,,,,-,-,FC東京,-,-,1,-,-,0,-,-,0,-,-,0
5,FC東京,7.0,米本　拓司,1834.0,MF,1990-12-03,177,71,2500,8.0,,,159.0,5.0,1.0,0.0,,,1.0,0.0,FC東京,FC東京,FC東京,1,1,1,33,33,31,1,2,1,2764,2753,2656
6,FC東京,9.0,平山　相太,513.0,FW,1985-06-06,190,85,2000,11.0,,,153.0,28.0,1.0,0.0,,,4.0,3.0,FC東京,FC東京,FC東京,1,1,1,21,19,2,5,3,0,288,981,29
7,FC東京,10.0,梶山　陽平,954.0,MF,1985-09-24,180,73,3300,12.0,1.0,,242.0,16.0,34.0,6.0,,,,,大分,FC東京,FC東京,1,1,1,9,7,18,1,0,0,658,214,1481
9,FC東京,13.0,榎本　達也,0.0,GK,1979-03-16,190,82,7000,2.0,,,223.0,0.0,60.0,0.0,,,,,栃木,栃木,FC東京,2,2,1,36,10,4,0,0,0,3228,855,360
10,FC東京,14.0,ハ　デソン,219.0,MF,1985-03-02,182,73,4500,1.0,,korea,,,,,,,12.0,0.0,KOR,CHN,CHN,9,9,9,29,22,24,3,1,1,-,-,-
