,No,time_played,position,height,weight,salary,nth_year,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played,age,place_prev_season,is_youth,is_old,j12_total_num_played,j1na_total_num_played,j12_total_scores,j1na_total_scores,prev12_num_played,prev123_num_played,prev12_scores,prev123_scores,prev12_time_played,prev123_time_played,prev12_div,prev123_div
0,2.0,2533.0,DF,180.0,76.0,5000.0,11.0,other,305.0,4.0,37.0,3.0,0.0,0.0,9.0,0.0,True,True,True,34,34,34,1,0,0,3060.0,2992.0,2917.0,33,4.0,False,True,323.5,314.0,22.5,4.0,68,102,0,1,5909.0,8969.0,2,3
1,3.0,2865.0,DF,183.0,79.0,6000.0,7.0,other,234.0,19.0,37.0,6.0,0.0,0.0,29.0,2.0,True,True,True,33,33,32,1,1,7,2970.0,2970.0,2834.0,29,4.0,False,False,252.5,263.0,37.5,21.0,65,98,8,9,5804.0,8774.0,2,3
2,4.0,1087.0,MF,184.0,75.0,2800.0,7.0,other,129.0,10.0,32.0,4.0,0.0,0.0,7.0,0.0,True,True,True,32,32,29,2,3,4,2618.0,2819.0,2052.0,29,4.0,False,False,145.0,136.0,26.0,10.0,61,93,7,9,4871.0,7489.0,2,3
3,5.0,2925.0,DF,182.0,75.0,1500.0,4.0,other,23.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,True,False,True,0,41,20,0,2,0,0.0,3689.0,1454.0,27,4.0,False,False,43.5,23.0,20.5,0.0,61,61,2,2,5143.0,5143.0,1,2
4,6.0,1080.0,DF,176.0,70.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,0,0,0,0,0,0,0.0,0.0,0.0,22,4.0,False,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1
5,7.0,1834.0,MF,177.0,71.0,2500.0,8.0,other,159.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,True,True,True,33,33,31,1,2,1,2764.0,2753.0,2656.0,26,4.0,False,False,159.5,160.0,5.5,5.0,64,97,3,4,5409.0,8173.0,2,3
6,9.0,513.0,FW,190.0,85.0,2000.0,11.0,other,153.0,28.0,1.0,0.0,0.0,0.0,4.0,3.0,True,True,True,21,19,2,5,3,0,288.0,981.0,29.0,31,4.0,False,False,153.5,157.0,28.5,31.0,21,42,3,8,1010.0,1298.0,2,3
7,10.0,954.0,MF,180.0,73.0,3300.0,12.0,other,242.0,16.0,34.0,6.0,0.0,0.0,0.0,0.0,True,True,True,9,7,18,1,0,0,658.0,214.0,1481.0,31,4.0,False,False,259.0,242.0,33.0,16.0,25,34,0,1,1695.0,2353.0,2,3
8,13.0,0.0,GK,190.0,82.0,7000.0,2.0,other,223.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,False,False,True,36,10,4,0,0,0,3228.0,855.0,360.0,37,4.0,False,True,253.0,223.0,30.0,0.0,14,50,0,0,1215.0,4443.0,1,1
9,14.0,219.0,MF,182.0,73.0,4500.0,1.0,korea,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,False,False,False,29,22,24,3,1,1,0.0,0.0,0.0,31,4.0,False,False,0.0,12.0,0.0,0.0,46,75,2,5,0.0,0.0,0,0
10,16.0,818.0,FW,173.0,70.0,4800.0,2.0,other,10.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,False,False,True,12,24,10,2,13,2,0.0,0.0,557.0,28,4.0,False,False,10.0,28.0,2.0,3.0,34,46,15,17,557.0,557.0,1,1
11,17.0,1688.0,MF,168.0,65.0,1500.0,5.0,other,82.0,10.0,97.0,17.0,0.0,0.0,0.0,0.0,True,True,True,4,30,22,0,6,1,35.0,1810.0,1311.0,26,4.0,False,False,130.5,82.0,58.5,10.0,52,56,7,7,3121.0,3156.0,2,3
12,20.0,2050.0,FW,183.0,78.0,5000.0,2.0,other,356.0,146.0,37.0,17.0,0.0,0.0,33.0,10.0,True,False,True,33,37,30,9,17,9,2587.0,3233.0,2209.0,35,4.0,False,True,374.5,389.0,164.5,156.0,67,100,26,35,5442.0,8029.0,1,2
13,21.0,18.0,FW,187.0,80.0,4500.0,2.0,other,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,26,38,8,5,16,0,0.0,0.0,254.0,32,4.0,False,True,8.0,8.0,0.0,0.0,46,72,16,21,254.0,254.0,1,1
14,22.0,502.0,MF,167.0,62.0,1800.0,8.0,other,330.0,29.0,37.0,5.0,0.0,0.0,17.0,0.0,True,True,True,20,21,25,0,0,0,1286.0,1096.0,1578.0,37,4.0,False,True,348.5,347.0,47.5,29.0,46,66,0,0,2674.0,3960.0,2,3
15,29.0,378.0,DF,185.0,83.0,800.0,9.0,other,47.0,1.0,46.0,3.0,0.0,0.0,0.0,0.0,True,True,True,0,25,19,0,0,0,0.0,2231.0,1398.0,28,4.0,False,False,70.0,47.0,24.0,1.0,44,44,0,0,3629.0,3629.0,2,3
16,34.0,114.0,MF,180.0,71.0,480.0,4.0,other,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,True,True,True,0,4,3,0,0,0,0.0,144.0,230.0,22,4.0,False,False,7.0,7.0,0.0,0.0,7,7,0,0,374.0,374.0,2,3
17,37.0,1956.0,MF,183.0,76.0,800.0,4.0,other,13.0,1.0,60.0,0.0,2.0,0.0,0.0,0.0,False,False,True,21,39,13,0,0,1,1803.0,3245.0,660.0,23,4.0,False,False,43.0,13.0,31.0,1.0,52,73,1,1,3905.0,5708.0,1,1
18,38.0,2138.0,MF,178.0,72.0,2500.0,4.0,other,156.0,18.0,29.0,6.0,0.0,0.0,0.0,0.0,True,True,True,32,23,25,2,1,4,2594.0,1413.0,1671.0,26,4.0,False,False,170.5,156.0,32.5,18.0,48,80,5,7,3084.0,5678.0,2,3
19,39.0,765.0,MF,164.0,64.0,850.0,3.0,other,18.0,1.0,57.0,8.0,3.0,0.0,0.0,0.0,False,False,True,21,33,13,2,2,1,790.0,2600.0,401.0,22,4.0,False,False,46.5,18.0,29.5,1.0,46,67,3,5,3001.0,3791.0,1,1
20,44.0,925.0,FW,171.0,72.0,2500.0,1.0,other,44.0,6.0,93.0,37.0,0.0,0.0,0.0,0.0,False,True,True,5,14,30,0,1,5,0.0,933.0,2544.0,29,4.0,False,False,90.5,44.0,52.5,6.0,44,49,6,6,3477.0,3477.0,2,2
